                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5161,                 7.0003,                 1.4436,                0.75807,                0.14358,                0.19624,                0.12398,                 1.2609,                 6.7475,                 1.2009,              0.0002202,              0.0002202,              0.0002202
                      2,                 1.2456,                 5.2127,                 1.1993,                0.70959,                0.33334,                0.34152,                0.21022,                  1.285,                 5.4931,                  1.167,             0.00039872,             0.00039872,             0.00039872
                      3,                   1.22,                 4.3116,                 1.1656,                0.79347,                0.35883,                0.46673,                0.31742,                 1.2562,                 4.9453,                 1.1874,             0.00053322,             0.00053322,             0.00053322
                      4,                 1.2117,                 3.5309,                 1.1621,                0.70551,                0.52575,                0.63722,                 0.3656,                 1.3174,                 3.6651,                 1.2384,              0.0004689,              0.0004689,              0.0004689
                      5,                 1.1522,                  2.828,                 1.1337,                 0.7409,                 0.5728,                0.62039,                 0.4084,                 1.2372,                 3.1776,                 1.1306,              0.0004689,              0.0004689,              0.0004689
                      6,                 1.0839,                 2.3249,                 1.1019,                0.68534,                0.63906,                0.61898,                 0.3893,                 1.2684,                 2.6769,                 1.1539,             0.00040287,             0.00040287,             0.00040287
                      7,                 1.0296,                 1.9852,                 1.0779,                0.74444,                0.55551,                0.61906,                0.38893,                 1.1685,                 2.3261,                 1.1233,             0.00033683,             0.00033683,             0.00033683
                      8,                 0.9674,                 1.6795,                 1.0352,                0.74321,                0.59048,                0.73782,                0.51606,                 1.1259,                 2.0589,                 1.1325,              0.0002708,              0.0002708,              0.0002708
                      9,                0.90263,                 1.5166,                 1.0083,                0.70127,                0.72063,                0.74601,                0.49465,                 1.1613,                  1.833,                 1.1251,             0.00020477,             0.00020477,             0.00020477
                     10,                0.86883,                 1.3764,                0.97693,                0.91166,                0.55486,                0.69091,                0.50671,                 1.0576,                 1.6706,                 1.0797,             0.00013874,             0.00013874,             0.00013874
